"d","k0","k1","seed","weight_shared","balanced","alpha_p","beta_p","model","b","nlabel"
800,10,23,22,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,11,22,23,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,11,22,23,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,11,22,23,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,11,22,23,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,11,22,23,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
800,11,22,23,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,12,21,24,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,12,21,24,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,12,21,24,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,12,21,24,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,12,21,24,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
800,12,21,24,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,13,20,25,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,13,20,25,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,13,20,25,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,13,20,25,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,13,20,25,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
800,13,20,25,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,14,19,26,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,14,19,26,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,14,19,26,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,14,19,26,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,14,19,26,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
800,14,19,26,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,15,18,27,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,15,18,27,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,15,18,27,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,15,18,27,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,15,18,27,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
800,15,18,27,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,16,17,28,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,16,17,28,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,16,17,28,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,16,17,28,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,16,17,28,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
800,16,17,28,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,17,16,29,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,17,16,29,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,17,16,29,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,17,16,29,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,17,16,29,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
800,17,16,29,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,18,15,30,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,18,15,30,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,18,15,30,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,18,15,30,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,18,15,30,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
800,18,15,30,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,19,14,31,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,19,14,31,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,19,14,31,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,19,14,31,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,19,14,31,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
800,19,14,31,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,20,13,32,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,20,13,32,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,20,13,32,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,20,13,32,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,20,13,32,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
800,20,13,32,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,21,12,33,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,21,12,33,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,21,12,33,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,21,12,33,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,21,12,33,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
800,21,12,33,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,22,11,34,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,22,11,34,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,22,11,34,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,22,11,34,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,22,11,34,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
800,22,11,34,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,23,10,35,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,23,10,35,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,23,10,35,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,23,10,35,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,23,10,35,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
800,23,10,35,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,24,9,36,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,24,9,36,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,24,9,36,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,24,9,36,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,24,9,36,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
800,24,9,36,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,25,8,37,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,25,8,37,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,25,8,37,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,25,8,37,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,25,8,37,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
800,25,8,37,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,26,7,38,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,26,7,38,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,26,7,38,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,26,7,38,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,26,7,38,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
800,26,7,38,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,27,6,39,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,27,6,39,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,27,6,39,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,27,6,39,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,27,6,39,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
800,27,6,39,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,28,5,40,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,28,5,40,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,28,5,40,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,28,5,40,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,28,5,40,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
800,28,5,40,0.5,"balanced",0.5,0.5,"BPM",0.0606060606060606,5
800,29,4,41,0.5,"balanced",1,1,"SPM",0.0606060606060606,5
800,29,4,41,0.5,"balanced",1,1,"BPM",0.0606060606060606,5
800,29,4,41,0.5,"balanced",2,5,"SPM",0.0606060606060606,5
800,29,4,41,0.5,"balanced",2,5,"BPM",0.0606060606060606,5
800,29,4,41,0.5,"balanced",0.5,0.5,"SPM",0.0606060606060606,5
